Time (s),Voltage (mV),Lead
0.0,0.01196964784253437,Lead III
0.002000400080016003,0.023500365418035178,Lead III
0.004000800160032006,0.1137330051129284,Lead III
0.006001200240048009,0.08325832302323982,Lead III
0.008001600320064013,0.06634054291541931,Lead III
0.010002000400080016,-0.0510034118090624,Lead III
0.012002400480096018,0.09154310186988708,Lead III
0.014002800560112022,0.08927439096762214,Lead III
0.016003200640128026,0.12846532810240527,Lead III
0.01800360072014403,0.14968521370131938,Lead III
0.020004000800160033,0.1853976665093377,Lead III
0.022004400880176037,0.15307069423665032,Lead III
0.024004800960192037,0.08896274734326874,Lead III
0.02600520104020804,0.2098340655022149,Lead III
0.028005601120224044,0.21129100874929138,Lead III
0.030006001200240048,0.10821387393945849,Lead III
0.03200640128025605,0.15815134027376987,Lead III
0.03400680136027205,0.2643288759409556,Lead III
0.03600720144028806,0.21118913048877405,Lead III
0.03800760152030406,0.19957487986094244,Lead III
0.040008001600320066,0.3839969851168531,Lead III
0.042008401680336066,0.21436353437823205,Lead III
0.04400880176035207,0.2344530418016066,Lead III
0.04600920184036807,0.2399696229893844,Lead III
0.048009601920384073,0.2746440457385529,Lead III
0.05001000200040008,0.2939398934700372,Lead III
0.05201040208041608,0.38879050367357365,Lead III
0.05401080216043209,0.29030608985235484,Lead III
0.05601120224044809,0.2740389193720753,Lead III
0.058011602320464095,0.36926028048947723,Lead III
0.060012002400480095,0.4172494004822083,Lead III
0.0620124024804961,0.4107541436254918,Lead III
0.0640128025605121,0.38722723562697636,Lead III
0.06601320264052811,0.48614132752441425,Lead III
0.0680136027205441,0.5249273102076536,Lead III
0.07001400280056011,0.5048329981032682,Lead III
0.07201440288057612,0.5141700665063673,Lead III
0.07401480296059212,0.47721326169163925,Lead III
0.07601520304060812,0.5882031251871918,Lead III
0.07801560312062412,0.5836856383362744,Lead III
0.08001600320064013,0.6499250345429041,Lead III
0.08201640328065612,0.6292861660634363,Lead III
0.08401680336067213,0.6325719994364034,Lead III
0.08601720344068814,0.6972340525999132,Lead III
0.08801760352070415,0.711131629518848,Lead III
0.09001800360072014,0.7459924856516391,Lead III
0.09201840368073615,0.8226592320609021,Lead III
0.09401880376075215,0.7751299979313782,Lead III
0.09601920384076815,0.7832217198755929,Lead III
0.09801960392078415,0.8062410435421277,Lead III
0.10002000400080016,0.7338312997170287,Lead III
0.10202040408081617,0.8197026197633563,Lead III
0.10402080416083216,0.8333123159837786,Lead III
0.10602120424084817,0.800965257805364,Lead III
0.10802160432086418,0.7622073698755778,Lead III
0.11002200440088018,0.7868170469987117,Lead III
0.11202240448089618,0.8536867281397832,Lead III
0.11402280456091218,0.8750786635311059,Lead III
0.11602320464092819,0.9019925962370939,Lead III
0.11802360472094418,0.8600305547810098,Lead III
0.12002400480096019,0.7881866692162715,Lead III
0.1220244048809762,0.8310695046012707,Lead III
0.1240248049609922,0.8658211887048193,Lead III
0.1260252050410082,0.8200264514431034,Lead III
0.1280256051210242,0.8164417758272572,Lead III
0.1300260052010402,0.8733794930989713,Lead III
0.13202640528105622,0.7837359270571295,Lead III
0.13402680536107223,0.8443369181463922,Lead III
0.1360272054410882,0.8513534028032959,Lead III
0.1380276055211042,0.9260159661996626,Lead III
0.14002800560112022,0.7190647399434626,Lead III
0.14202840568113623,0.833130806104037,Lead III
0.14402880576115223,0.8377551834369124,Lead III
0.14602920584116824,0.7559062073293161,Lead III
0.14802960592118425,0.7688101030948093,Lead III
0.15003000600120023,0.8369770111194081,Lead III
0.15203040608121624,0.8662706737582495,Lead III
0.15403080616123224,0.8511955207250941,Lead III
0.15603120624124825,0.7721304061872872,Lead III
0.15803160632126426,0.8869782978615759,Lead III
0.16003200640128026,0.8753555141938839,Lead III
0.16203240648129627,0.8568312237258947,Lead III
0.16403280656131225,0.6964603882222774,Lead III
0.16603320664132826,0.7709114108433945,Lead III
