X;Y;Value
3,576110698;1,641861276;0,474827866
-1,11732713;2,953835405;1,907142696
2,648923099;1,153441692;0,568313905
-4,226460594;0,06477737;1,915927679
-3,467962706;2,633965101;0,809239977
-1,722516129;0,152025895;1,840942957
2,893474399;1,161008988;1,356957972
2,526749521;1,182765192;0,635403043
2,680017655;1,755549009;2,87919989
5,863058674;2,201047782;2,984033762
-2,989254065;0,831738631;1,633886066
-2,469649336;0,710676531;2,290787727
-1,241206289;2,042754203;1,974904838
3,315134002;1,633687444;1,082322601
0,589413413;0,928229066;0,964756882
-2,576427074;1,69642698;1,555505857
-2,540408193;0,933495075;0,406560046
2,03428067;2,282854574;1,608150015
-3,551599285;2,737970644;1,325616019
-3,509366601;2,257470307;0,111079629
-4,343203487;0,654951003;0,21516815
2,892898457;2,647176926;1,388275879
-2,168203348;2,195647629;0,54557458
-4,568425714;2,879352348;2,166603758
-5,031055033;1,79312406;2,875013374
2,971956702;0,258183176;2,589115898
-3,126267481;0,609884418;0,311310964
-3,556113992;0,235954761;2,764592888
2,382755177;2,360137053;1,473791968
-3,665934935;2,251315009;1,751389204
4,364813824;0,422899135;1,631035303
-2,639321494;0,501677719;2,876939116
1,462034758;1,910743837;2,478872797
-1,244503998;0,986841292;1,562150743
-1,90442651;2,440067736;0,890963403
-2,42177457;2,80364608;0,40552153
-2,861853828;0,361024344;1,749401679
3,195981266;0,700730648;0,338394958
2,667811189;2,5653375;2,948977896
1,873964271;0,064071356;1,883944603
4,061925481;1,917378399;2,126590504
2,145826621;2,834277664;2,978190775
-3,463627835;0,016537762;0,313203882
4,399490615;1,189348379;1,380735151
-2,802690227;2,713606393;2,932681451
3,71476865;1,785086378;1,422716008
2,093329289;1,080592779;0,81580603
-1,656209596;0,345178313;0,804253558
-2,466813781;2,972271383;1,381788598
3,63056445;1,134635036;1,147850252
4,827141327;0,623355476;0,971752893
0,569657361;1,796956594;1,679959115
-2,058577918;1,409839834;0,436474419
-2,499426418;2,894684446;1,604132918
3,684811925;1,330450279;2,683912384
-2,88823806;2,159976394;1,794729918
3,49244431;0,601337471;0,813649718
3,90345413;0,680122703;2,72793598
-3,784429505;2,808125007;1,293747456
3,858196905;1,898259837;0,429332419
1,138367118;0,930022952;2,368623503
2,246976051;1,818388734;2,014306088
1,8443664;2,725080611;1,063546055
-3,376751162;1,685938754;1,32828376
3,151413021;0,960062906;0,927255708
3,225564368;2,990058604;2,750708804
-1,087521529;1,304010823;0,421352589
2,832190971;2,244824328;2,186065636
-4,485375463;1,81054969;1,723026569
-5,504656494;0,647136838;0,769822415
-5,130178288;0,838849076;2,907727506
4,624186954;0,367518877;2,611314596
-3,177548922;1,847356089;2,245934996
2,789095125;1,334077332;0,01349532
1,991918423;2,471318819;0,075913675
4,24165692;0,205303642;2,322412251
2,033197673;1,386357077;0,00609476
-3,17384628;1,255464204;2,297690959
2,525383964;1,489291232;1,727306243
-3,600358369;0,55720289;1,388870327
1,362431704;1,119666897;1,416761905
-2,43550776;1,34882996;0,932487909
2,673081682;2,009769736;1,308328966
-2,889937394;1,11390944;0,68592723
1,63862297;2,981875424;2,50347432
2,289191831;2,651612006;2,764494703
-2,355525234;2,444494702;1,887873491
3,078994973;0,772915509;0,345636764
-3,2543282;2,813376169;1,314886128
-3,164699327;0,059006095;0,943018246
-1,844609796;2,194463795;1,340431391
3,686865233;0,081889282;0,437679388
3,688698856;1,212057479;1,381609194
-3,780201484;2,381093865;0,324826442
-1,750243533;2,720917979;0,691326934
2,097265016;1,260475222;0,061206631
-4,144160364;0,124211823;1,049693257
3,182189799;2,052717081;0,164256199
-3,299743901;2,240464171;0,48067187
-4,081298547;0,047988469;2,140673024
3,88065706;1,015496769;1,709782588
-2,629734387;2,691054135;1,569913207
0,845928126;0,592023016;1,223675247
-2,61707621;0,763869971;1,461808247
2,70479225;0,569228124;0,347695187
-2,735236044;2,609041781;2,480157846
3,025614546;1,651423252;2,534936346
4,033944535;1,281289096;2,230719647
3,440314726;2,14588853;0,239358999
3,433598649;0,24947254;0,758701008
3,545087101;2,825572944;1,335735486
-3,346028578;2,100030587;0,298643225
-3,140168674;1,6318741;1,131682615
3,132928637;2,889313789;2,094659198
-3,036950164;1,488209553;2,621724235
-3,652583635;1,767839786;1,343688532
3,983474818;2,482658684;1,236456274
3,188726691;1,46895037;0,761377377
2,407907843;1,944944199;0,694358469
2,52784976;0,768225944;2,221851992
3,472292526;2,779244578;2,147986737
2,492287903;1,195112254;1,906203603
-2,87525159;0,079580228;1,247736248
-2,588385078;1,368647507;0,122288091
4,058380685;1,372578771;2,548005785
2,481346773;0,119065602;0,759594051
-2,916891165;1,027600006;1,057174697
1,818025831;2,463346181;2,602067292
-2,903746162;2,895752843;0,668289336
-2,420107717;2,559209595;0,453671818
2,712372496;2,250503703;1,216989673
3,806849683;0,800588949;1,931513919
2,140156458;1,030060263;0,874185483
-3,914904776;0,526333141;1,087271573
-2,93525201;0,029779959;2,615155336
4,818845456;1,258223767;0,092423607
3,409815927;1,313461544;0,961649396
-3,042010928;2,219045072;2,311733905
2,874619237;0,047258759;2,2908415
-1,078656395;0,019562425;2,481870683
-2,881009572;1,673157291;1,514653
4,5014137;1,195809738;2,294777168
-3,279096319;2,766546817;0,728753422
1,253025442;2,693970156;1,081280283
2,573237791;0,945373643;0,993562882
1,882446367;1,14278739;0,758373556
2,999196878;1,109129092;2,802356265
-3,999138784;2,428299651;0,737723541
3,790605731;1,003274344;0,181214206
-3,186943405;0,391851739;0,93061042
1,239425689;0,342546075;2,291648001
2,542513153;0,746969421;0,676406064
3,068925594;2,542545255;0,550892148
-5,247762818;2,084147002;1,53018065
3,519894146;1,286592427;2,877783488
3,806989234;1,640830424;0,596096564
-1,839896596;1,118456082;2,510027641
1,759089045;0,365517264;1,259947631
-2,777233647;0,900292322;2,074356029
3,013100941;1,347285611;2,57852881
4,364814292;2,320652566;0,817469038
3,021891677;0,642781049;2,247096553
2,62500157;2,265502847;0,077256429
-4,416130239;0,912452188;1,760991645
3,639936151;1,62624626;1,255027256
-4,634415651;0,504578344;0,398316099
2,404766816;0,826346306;0,261326162
-4,624799165;0,822217028;1,756506945
2,893503213;2,346109051;1,182933616
-2,280482662;1,573160627;2,547500699
2,492268356;0,569447719;1,859877211
1,933857852;2,659972028;2,576147021
-3,114367979;1,281168114;0,414832197
-2,962354276;1,209470041;2,45756483
-4,130889902;1,623055117;1,812559162
-3,526784597;2,899615337;1,168667565
3,453600727;1,339840999;1,559134988
4,684695842;2,035158369;1,567901307
2,800536044;2,72356522;0,698884697
-3,718462516;2,593410287;0,652920788
-2,787360867;0,893048254;2,934395951
-3,074973238;1,317492108;1,176709202
2,727005049;1,818268946;2,813881829
-3,987297168;1,802244996;0,550829947
-4,301354941;1,48855031;2,850515824
-3,665119139;2,651292338;0,901268621
-1,449901579;2,007420224;2,44301469
-0,897191379;2,573967173;0,472447154
-3,527151303;2,862323286;2,183460402
4,77038039;0,370005333;2,260132143
1,334238389;1,588610714;1,195034428
3,311286584;2,683803796;1,843065242
2,021574453;1,651264877;2,036946302
2,432113423;0,605112434;2,600228059
3,337346382;1,662063841;1,536876295
-3,412966205;0,231069755;1,065237798
4,503688083;2,826718681;0,326051944
-3,861265966;0,683380317;2,245353342
-3,082201281;2,431917225;0,689028898
1,823635942;2,201446937;1,908728242
-2,767150929;0,361496642;0,491757525
-3,255927405;1,037158188;2,330542767
4,056099825;2,547854403;1,316755337
1,775978165;1,376788067;2,245303077
-3,12448793;1,712640319;2,320129716
-4,33870619;0,461901278;2,103591944
3,675155249;2,144182674;1,313525256
-3,640655914;0,641364292;2,228761779
-3,090411896;2,793409897;0,459770926
-4,159615441;0,277184003;0,093673036
2,99346571;2,142976937;2,542323394
-1,898578826;1,233134852;2,648798576
-2,706343757;1,94006168;2,99763502
-3,406037996;1,104326111;1,902986054
3,245806343;0,355031615;1,56405016
-2,178657815;1,383045328;0,213942157
-4,065760718;2,916923217;2,468862634
-2,778105859;0,539840836;2,307406377
-2,777514037;2,648108278;2,551433716
-1,172383451;0,085553811;2,210385652
2,93638863;0,422061657;0,093245625
-3,093408678;2,277314583;0,066943598
-3,200397455;1,165021398;2,131185096
2,583999919;2,873644671;2,384957965
2,626856214;2,749133907;1,450951176
1,729899939;0,693991347;0,476658378
-3,369885763;2,171202602;1,433869777
